Date,Open,High,Low,Close,Adj Close,Volume
2022-01-22,36471.589844,36688.8125,34349.25,35030.25,35030.25,39714385405
2022-01-23,35047.359375,36433.3125,34784.96875,36276.804688,36276.804688,26017975951
2022-01-24,36275.734375,37247.519531,33184.058594,36654.328125,36654.328125,41856658597
2022-01-25,36654.804688,37444.570313,35779.429688,36954.003906,36954.003906,26428189594
2022-01-26,36950.515625,38825.410156,36374.90625,36852.121094,36852.121094,31324598034
2022-01-27,36841.878906,37148.324219,35629.28125,37138.234375,37138.234375,25041426629
2022-01-28,37128.445313,37952.878906,36211.109375,37784.332031,37784.332031,22238830523
2022-01-29,37780.714844,38576.261719,37406.472656,38138.179688,38138.179688,17194183075
2022-01-30,38151.917969,38266.339844,37437.710938,37917.601563,37917.601563,14643548444
2022-01-31,37920.28125,38647.261719,36733.574219,38483.125,38483.125,20734730465
2022-02-01,38481.765625,39115.132813,38113.664063,38743.273438,38743.273438,20288500328
2022-02-02,38743.714844,38834.617188,36832.730469,36952.984375,36952.984375,19155189416
2022-02-03,36944.804688,37154.601563,36375.539063,37154.601563,37154.601563,18591534769
2022-02-04,37149.265625,41527.785156,37093.628906,41500.875,41500.875,29412210792
2022-02-05,41501.480469,41847.164063,41038.097656,41441.164063,41441.164063,19652846215
2022-02-06,41441.121094,42500.785156,41244.90625,42412.433594,42412.433594,16142097334
2022-02-07,42406.78125,44401.863281,41748.15625,43840.285156,43840.285156,28641855926
2022-02-08,43854.652344,45293.867188,42807.835938,44118.445313,44118.445313,33079398868
2022-02-09,44096.703125,44727.800781,43232.96875,44338.796875,44338.796875,23245887300
2022-02-10,44347.800781,45661.171875,43402.808594,43565.113281,43565.113281,32142048537
